date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:42:57	1876/1876	---M--	200	added ('OK')	text/plain	date:Thu,%2004%20Jun%202020%2017:00:48%20GMT	https://www.gutenberg.org/robots.txt		(from )
16:42:57	18551/18551	---M--	200	added ('OK')	text/html	date:Mon,%2005%20Oct%202020%2020:05:04%20GMT	https://www.gutenberg.org/	/Users/adamundus/Documents/School/Senior/%20D/reading-list/Project%20Gutenberg%20Reading%20List/www.gutenberg.org/index.html	(from )
16:42:58	13612/13612	---M--	200	added ('OK')	text/css	date:Thu,%2003%20Sep%202020%2021:57:53%20GMT	https://www.gutenberg.org/gutenberg/style.css?v=1.1	/Users/adamundus/Documents/School/Senior/%20D/reading-list/Project%20Gutenberg%20Reading%20List/www.gutenberg.org/gutenberg/stylef9e3.css	(from https://www.gutenberg.org/)
16:42:59	3532/3532	---M--	200	added ('OK')	text/css	date:Tue,%2025%20Aug%202020%2001:11:12%20GMT	https://www.gutenberg.org/gutenberg/collapsible.css?1.1	/Users/adamundus/Documents/School/Senior/%20D/reading-list/Project%20Gutenberg%20Reading%20List/www.gutenberg.org/gutenberg/collapsible777d.css	(from https://www.gutenberg.org/)
16:43:00	6541/6541	---M--	200	added ('OK')	text/css	date:Mon,%2005%20Oct%202020%2017:47:29%20GMT	https://www.gutenberg.org/gutenberg/new_nav.css?v=1.321231	/Users/adamundus/Documents/School/Senior/%20D/reading-list/Project%20Gutenberg%20Reading%20List/www.gutenberg.org/gutenberg/new_navd545.css	(from https://www.gutenberg.org/)
16:43:01	43664/43664	---M--	200	added ('OK')	text/css	date:Wed,%2002%20Sep%202020%2019:20:32%20GMT	https://www.gutenberg.org/gutenberg/pg-desktop-one.css	/Users/adamundus/Documents/School/Senior/%20D/reading-list/Project%20Gutenberg%20Reading%20List/www.gutenberg.org/gutenberg/pg-desktop-one.css	(from https://www.gutenberg.org/)
16:43:02	764/764	---M--	200	added ('OK')	image/x-icon	date:Mon,%2014%20Sep%202020%2023:50:48%20GMT	https://www.gutenberg.org/gutenberg/favicon.ico?v=1.1	/Users/adamundus/Documents/School/Senior/%20D/reading-list/Project%20Gutenberg%20Reading%20List/www.gutenberg.org/gutenberg/faviconf9e3.ico	(from https://www.gutenberg.org/)
16:43:03	15342/15342	---M--	200	added ('OK')	image/png	date:Mon,%2014%20Sep%202020%2023:51:04%20GMT	https://www.gutenberg.org/gutenberg/pg-logo-144x144.png	/Users/adamundus/Documents/School/Senior/%20D/reading-list/Project%20Gutenberg%20Reading%20List/www.gutenberg.org/gutenberg/pg-logo-144x144.png	(from https://www.gutenberg.org/)
16:43:04	16265/16265	---M--	200	added ('OK')	image/png	date:Mon,%2014%20Sep%202020%2023:20:07%20GMT	https://www.gutenberg.org/gutenberg/pg-logo-129x80.png	/Users/adamundus/Documents/School/Senior/%20D/reading-list/Project%20Gutenberg%20Reading%20List/www.gutenberg.org/gutenberg/pg-logo-129x80.png	(from https://www.gutenberg.org/)
16:43:05	15383/15383	---M--	200	added ('OK')	text/html	date:Thu,%2001%20Oct%202020%2020:32:34%20GMT	https://www.gutenberg.org/policy/collection_development.html	/Users/adamundus/Documents/School/Senior/%20D/reading-list/Project%20Gutenberg%20Reading%20List/www.gutenberg.org/policy/collection_development.html	(from https://www.gutenberg.org/)
16:43:06	7356/7356	---M--	200	added ('OK')	text/html	date:Thu,%2001%20Oct%202020%2020:32:34%20GMT	https://www.gutenberg.org/about/	/Users/adamundus/Documents/School/Senior/%20D/reading-list/Project%20Gutenberg%20Reading%20List/www.gutenberg.org/about/index.html	(from https://www.gutenberg.org/)
16:43:06	10872/10872	---M--	200	added ('OK')	text/html	date:Thu,%2001%20Oct%202020%2020:32:34%20GMT	https://www.gutenberg.org/about/contact_information.html	/Users/adamundus/Documents/School/Senior/%20D/reading-list/Project%20Gutenberg%20Reading%20List/www.gutenberg.org/about/contact_information.html	(from https://www.gutenberg.org/)
